Event Name	Start Time	End Time	Latitude	Longitude	Venue Name	Street	City	Region	Postalcode	Country	Price	URL	Type	
Satch's Special Sunday Jammers Blues Jam	2009-04-21 16:00:00 +0000	2009-04-21 20:00:00 +0000	42.21756	-70.93723	Next Page Blues Cafe	550 Broad Street	Weymouth	MA	02189	United States	 Free	http://www.reverbnation.com/venue/thenextpagebluescafe	Blues
WSO Seeking Talented Musicians for Spring Performances	2009-04-21 18:00:00 +0000		42.38102	-71.23403	Waltham Symphony Orchestra	23A Summer Avenue	Waltham	MA		United States	?	?	Classical
Strictly Sinatra	2009-04-21 18:00:00 +0000		42.3494	-71.0798	Jae's Back Bay	711 Boylston St.	Boston	MA	02116	United States	?	?	Music
Blue Horizon Jazz Band	2009-04-21 19:00:00 +0000	2009-04-21 21:30:00 +0000	42.24759	-71.36909	Sherborn Inn	33 N. Main St.	Sherborn	MA	01770	United States	 $10	http://www.sherborninn.com/dining/	Jazz
Shawn Mullins, Alex Woodard Opens	2009-04-21 19:00:00 +0000		42.37395	-71.11987	Club Passim	47 Palmer St.	Cambridge	MA	02138	United States	 $20.00	http://www.clubpassim.org/	Music
Joyful Noise	2009-04-21 19:30:00 +0000		42.58952	-70.82256	Jensen Theatre, Barrington Center for the Arts	255 Grapevine Rd.	Wenham	MA	01984	United States	 $8 for adults, $5 for students and seniors	http://www.gordon.edu/finearts/barrington	Classical
Trash Can Taiko Class	2009-04-21 19:30:00 +0000	2009-04-21 21:00:00 +0000	42.41862	-71.10541	Springstep	98 George P. Hassett Dr.	Medford	MA	02155	United States	 $59 Members, $65 Non-Members	http://www.springstep.org	Ethnic &amp; Cultural
Boston University Wind Ensemble	2009-04-21 19:30:00 +0000		42.34999	-71.10425	Tsai Performance Center	685 Commonwealth Ave.	Boston	MA	02215	United States	 Free	http://www.bu.edu/tsai/	Music
Dance Freedom	2009-04-21 19:30:00 +0000		42.37596	-71.12095	First Church in Cambridge	11 Garden St.	Cambridge	MA	02138	United States	 $7	http://www.firstchurchcambridge.org/	World Music
Bruce Springsteen and the E Street Band	2009-04-21 19:30:00 +0000		42.36527	-71.06179	TD Banknorth Garden	100 Legends Way	Boston	MA	02114	United States	?	http://www.tdbanknorthgarden.com/	Rock
Singer/Songwriter Open Mike	2009-04-21 20:00:00 +0000		42.64287	-71.30853	Mickey's Irish Pub	179 Central St.	Lowell	MA	01852	United States	 Free	http://www.MickeyDoyle.com	Music
Voice Workshop	2009-04-21 20:00:00 +0000	2009-04-21 21:30:00 +0000	42.3492	-71.06935	Boston Center for Adult Education	122 Arlington St.	Boston	MA	02217	United States	 $144 BCAE members; $172 non-members	http://www.bcae.org	Workshops &amp; Classes
Tufts Opera Favourites	2009-04-21 20:00:00 +0000		42.40479	-71.11783	Granoff Music Center	20 Talbot Ave.	Medford	MA	02144	United States	 Free	http://www.tufts.edu/musiccenter	Classical
Jazz Jam with John Funkhauser	2009-04-21 20:00:00 +0000		42.27413	-71.41751	Amazing Things Arts Center	160 Hollis St.	Framingham	MA	01702	United States	 $6 (mem $5)	http://www.amazingthings.org	Jazz
Iron Maiden Flight 666--Exclusive New England Theatrical Premiere Event	2009-04-21 20:00:00 +0000		42.41515	-71.15075	Regent Theatre	7 Medford St.	Arlington	MA	02474	United States	 $12.50 advance, $15.00 day of show 	http://regenttheatre.com	Film
Ani DiFranco	2009-04-21 20:00:00 +0000		42.35245	-71.06523	Colonial Theatre	106 Boylston St.	Boston	MA	02116	United States	?	http://www.bostonscolonialtheatre.com/	Music
Of Montreal	2009-04-21 20:00:00 +0000		42.35163	-71.11925	Paradise Rock Club	967 Commonwealth Ave.	Boston	MA	02215	United States	?	http://www.thedise.com/	Music
Todd Rundgren	2009-04-21 20:00:00 +0000		42.09501	-71.2624	Showcase Live	23 Patriot Place	Foxboro	MA	02035	United States	 $26.00	http://showcaselive.com/	Rock
Berklee Genre Jumble With The Help, Shea Rose, With Engines and Black Fortress Opium	2009-04-21 20:30:00 +0000		42.36372	-71.10165	T.T. the Bear's Place	10 Brookline St.	Cambridge	MA	02138	United States	 $8	http://www.ttthebears.com	Music
Session Americana's Weekly Residency - March 10, 24, 31 and APRIL 7 (just added!)	2009-04-21 20:30:00 +0000		42.38198	-71.11965	Lizard Lounge	1667 Mass. Ave.	Cambridge	MA	02138	United States	 $5	http://lizardloungeclub.com	Music
Bitches Brew Band	2009-04-21 20:30:00 +0000	2009-04-22 00:00:00 +0000	42.37321	-71.10049	Ryles Jazz Club &amp; Ryles Dance Hall	212 Hampshire St.	Cambridge	MA	02139	United States	 $8	http://www.rylesjazz.com/	Jazz
David Johnston Playing at Bull McCabe's Pub	2009-04-21 21:00:00 +0000	2009-04-22 01:00:00 +0000	42.38103	-71.09915	Bull McCabe's Pub	366A Somerville Avenue	Somerville	MA	02143	United States	 Free	http://www.bullmccabesboston.com	Blues
Mudboy, Area C	2009-04-21 21:00:00 +0000		42.36393	-71.10122	Middle East Club	472 Massachusetts Ave.	Cambridge	MA	02139	United States	 $8.00	http://www.mideastclub.com/	Alternative
Live Music Tuesday	2009-04-21 21:00:00 +0000	2009-04-22 01:00:00 +0000	42.34873	-71.09509	The Foundation Lounge	500 Commonwealth Ave.	Boston	MA	02215	United States	 No Cover	http://www.thefoundationlounge.com	Miscellaneous
Roll Boogie	2009-04-21 22:00:00 +0000		42.3639	-71.1012	Zuzu	474 Massachusetts Ave.	Cambridge	MA	02139	United States	?	http://www.mideastclub.com/zuzu/	Music
Selective Tuesdays	2009-04-21 22:00:00 +0000	2009-04-22 01:45:00 +0000	42.35933	-71.05457	Club Vertigo	126 State St.	Boston	MA	02211	United States	 FREE B4 11:30 $10 ALL NIGHT	http://www.vertigoboston.com	Reggae
Rehab Tuesdays	2009-04-21 22:00:00 +0000		42.34479	-71.09636	Machine Nightclub	1254 Boylston St.	Boston	MA	02115	United States	 $5	http://www.nightclubmachine.com	Techno &amp; Dance
New Member Interviews	2009-04-22 12:00:00 +0000		42.34941	-71.07982	Red Lantern Club	710 Boylston St.	Boston	MA	02106	United States	 n/a	?	Music
Antonio Massa Viana, classical guitar	2009-04-22 12:15:00 +0000		42.3557	-71.06252	The Cathedral Church of St. Paul	138 Tremont St.	Boston	MA	02111	United States	 $5 suggested donation	http://www.stpaulboston.org	Classical
RhythmKids	2009-04-22 15:40:00 +0000	2009-04-22 16:25:00 +0000	42.24819	-71.1734	Creative Adventures	599 High St.	Dedham	MA	02026	United States	?	http://www.createyouradventures.com	Music
Leonard Bernstein Festival of the Creative Arts	2009-04-22 17:00:00 +0000		42.36544	-71.2558	Brandeis University	415 South St.	Waltham	MA	02454	United States	 Free	http://www.brandeis.edu	Music
Evening Interlude	2009-04-22 17:30:00 +0000	2009-04-22 18:15:00 +0000	42.36066	-71.06299	Church of St. John Evangelist	35 Bowdoin St.	Boston	MA	02114	United States	 free	http://www.stjev.org	Classical
The Tufts Applied Music Program - Showcase Recials	2009-04-22 18:00:00 +0000		42.40479	-71.11783	Granoff Music Center	20 Talbot Ave.	Medford	MA	02144	United States	 Free	http://www.tufts.edu/musiccenter	Music
Brazilian Capoeira Class	2009-04-22 18:15:00 +0000	2009-04-22 19:30:00 +0000	42.41862	-71.10541	Springstep	98 George P. Hassett Dr.	Medford	MA	02155	United States	 $99, $89 for Springstep members	http://www.springstep.org	World Music
JamVOX Nights	2009-04-22 18:30:00 +0000		42.34612	-71.08751	Daddy's Junky Music	159 Massachusetts Ave	Boston	MA	02115	United States	 Free	?	Performing Arts
Wed Night Karaoke	2009-04-22 20:00:00 +0000	2009-04-23 00:00:00 +0000	42.30591	-71.05881	Peggy O'Neil's	1310 Dorchester Ave.	Dorchester	MA	02122	United States	 Free	?	Performing Arts
The Dennis Brennan Band Residency with special guests all month!	2009-04-22 20:00:00 +0000		42.38198	-71.11965	Lizard Lounge	1667 Mass. Ave.	Cambridge	MA	02138	United States	 $5	http://lizardloungeclub.com	Music
The Birthday Massacre, I Am Ghost	2009-04-22 20:00:00 +0000		42.36393	-71.10122	Middle East Club	472 Massachusetts Ave.	Cambridge	MA	02139	United States	 $15.00	http://www.mideastclub.com/	Alternative
ALEA III: A Young Composers' Workshop	2009-04-22 20:00:00 +0000		42.34999	-71.10425	Tsai Performance Center	685 Commonwealth Ave.	Boston	MA	02215	United States	 free	http://www.bu.edu/tsai/	Classical
Spitzer Space Telescope: First full-length album release	2009-04-22 20:00:00 +0000	2009-04-22 22:30:00 +0000	42.34902	-71.10024	Boston University Morse Auditorium	602 Commonwealth Ave.	Boston	MA	02215	United States	 $3 at the door	?	Folk
	2009-04-22 20:00:00 +0000	2009-04-23 01:00:00 +0000	42.34712	-71.1028	An Tua Nua (A New Beginning)	835 Beacon St.	Boston	MA	02115	United States	 $10 cover, $2 lessons	?	World Music
Alea III - Celebrating Yehudi, a Great Master	2009-04-22 20:00:00 +0000	2009-04-22 22:00:00 +0000	42.34999	-71.10425	Tsai Performance Center	685 Commonwealth Ave.	Boston	MA	02215	United States	 Free Admission	http://www.bu.edu/tsai/	Classical
Poetry Jam &amp;amp; Slam 2	2009-04-22 20:00:00 +0000		42.34798	-71.08524	The Red Room @ Cafe 939	939 Boylston St.	Boston	MA	02115	United States	 $5 General Admission, student discount available at the Berklee Performance Center Box Office	http://www.cafe939.com	Poetry
